"No.","Channel Name","Receive Frequency","Transmit Frequency","Channel Type","Transmit Power","Band Width","CTCSS/DCS Decode","CTCSS/DCS Encode","Contact","Contact Call Type","Contact TG/DMR ID","Radio ID","Busy Lock/TX Permit","Squelch Mode","Optional Signal","DTMF ID","2Tone ID","5Tone ID","PTT ID","Color Code","Slot","Scan List","Receive Group List","TX Prohibit","Reverse","TDMA","TDMA Adaptive","AES Digital Encryption","Digital Encryption","Call Confirmation","Talk Around(Simplex)","Work Alone","Custom CTCSS","2TONE Decode","Ranging","Simplex","Digi APRS RX","Analog APRS PTT Mode","Digital APRS PTT Mode","APRS Report Type","Digital APRS Report Channel","Correct Frequency[Hz]","SMS Confirmation"
"20","Kista 1","145.57500","144.97500","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"21","Kista 2","145.67500","145.07500","A-Analog","Mid","12.5K","Off","123.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"22","Kista 3","434.62500","432.62500","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"23","Kista 4","434.66250","432.66250","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"24","Kista 5","434.95000","432.95000","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"25","Kista 6","434.98750","432.98750","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"26","Morko","434.78750","432.78750","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"27","Norrtalje 1","145.68750","145.08750","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"28","Norrtalje 2","434.90000","432.90000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"29","Nynashamn 1","145.71250","145.11250","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"30","Nynashamn 2","434.61250","432.61250","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"31","Rimbo","434.78750","432.78750","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"32","Sigtuna","434.88750","432.88750","D+A TX D","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"33","Soder","434.72500","432.72500","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"34","Soderort","434.68750","432.68750","D-Digital","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","1","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"35","Sodertalje 1","145.70000","145.10000","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","1","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"36","Sodertalje 2","434.82500","432.82500","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"37","Sodertorn","434.53750","432.53750","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","1","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"38","Solna 1 SM0OFV/R","145.76250","145.16250","A-Analog","Mid","12.5K","Off","123.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"39","Solna 2 SK0ZA/R","434.85000","432.85000","A-Analog","Mid","12.5K","Off","123.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"40","Stockholm 1","145.72500","145.12500","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"41","Stockholm 2","434.96250","432.96250","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"42","Stockholm Norr","145.78750","145.18750","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"43","Taby 1","434.70000","436.30000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"44","Taby 2","434.73750","432.73750","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"45","Tullinge","145.66250","145.06250","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"46","Tyreso","434.51250","432.51250","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","12","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"47","Upplands Vasby 1","434.67500","432.67500","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"48","Upplands Vasby 2","434.76250","432.76250","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"49","Vallentuna","434.86250","432.86250","A-Analog","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"50","Vaddo 1","145.73750","145.13750","D+A TX D","Mid","12.5K","Off","77.0","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Digital","1","0","Off"
"51","Vaddo 2","434.60000","432.60000","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Digital","1","0","Off"
"52","Varmdo","434.97500","432.97500","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"53","Vastberga 1","145.60000","145.00000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"54","Vastberga 2","434.90000","432.90000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM0","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"55","Slite","434.60000","432.60000","A-Analog","Mid","12.5K","Off","218.1","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM1","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"56","Alvsbyn","145.67500","145.07500","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"57","Boden","145.62500","145.02500","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"58","Arjeplog","145.70000","145.10000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"59","Jorn","145.75000","145.15000","A-Analog","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"60","Kalix 1","145.72500","145.12500","D+A TX D","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"61","Kalix 2","434.75000","432.75000","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"62","Kalix 3","434.72500","432.72500","D+A TX D","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","On","Digital","1","0","Off"
"63","Kiruna 1","145.62500","145.02500","A-Analog","Mid","12.5K","Off","107.2","Regional SM0","Group Call","2400","Radio 1","Off","Carrier","Off","1","1","1","Off","0","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
"64","Kiruna 2","434.51250","432.51250","D-Digital","Mid","12.5K","Off","Off","Regional SM0","Group Call","2400","Radio 1","Always","Carrier","Off","1","1","1","Off","2","2","SM2","SA0AZS","Off","Off","Off","Off","Normal Encryption","Off","Off","Off","Off","251.1","1","Off","Off","Off","Off","Off","Analog","1","0","Off"
